Ordem Pedido;Loja;Tempo de Entrega;Devolução
7060;Físico;;Não
808;Físico;;Não
7081;Físico;;Não
7046;Físico;;Não
7053;Físico;;Não
7147;Físico;;Não
1402;Físico;;Não
7240;Físico;;Não
1528;Físico;;Não
6991;Físico;;Não
1168;Físico;;Não
627;Físico;;Não
585;Físico;;Não
1096;Físico;;Sim
6984;Físico;;Não
7324;Físico;;Não
7094;Físico;;Não
6997;Físico;;Não
7125;Físico;;Sim
1451;Físico;;Sim
7066;Físico;;Não
7442;Físico;;Não
7188;Físico;;Sim
7565;Físico;;Não
272;Físico;;Não
127;Físico;;Não
1483;Físico;;Não
1371;Físico;;Não
841;Físico;;Não
7113;Físico;;Não
7091;Físico;;Não
7107;Físico;;Não
1009;Físico;;Sim
1095;Físico;;Sim
7098;Físico;;Não
7028;Físico;;Não
761;Físico;;Não
942;Físico;;Não
287;Físico;;Não
320;Físico;;Não
1423;Físico;;Não
1639;Físico;;Sim
7115;Físico;;Não
7058;Físico;;Não
1084;Físico;;Não
7480;Físico;;Não
7194;Físico;;Não
390;Físico;;Não
234;Físico;;Não
1493;Físico;;Não
7153;Físico;;Não
827;Físico;;Não
20;Físico;;Não
7102;Físico;;Não
194;Físico;;Não
7035;Físico;;Não
7132;Físico;;Não
7123;Físico;;Não
270;Físico;;Não
485;Físico;;Não
6981;Físico;;Não
7635;Físico;;Não
109;Físico;;Não
60;Físico;;Não
176;Físico;;Não
1158;Físico;;Não
7120;Físico;;Não
7063;Físico;;Não
1692;Físico;;Não
7569;Físico;;Não
7357;Físico;;Não
1275;Físico;;Não
7724;Físico;;Não
6978;Físico;;Não
1302;Físico;;Não
797;Físico;;Não
7040;Físico;;Não
7720;Físico;;Não
7013;Físico;;Não
1094;Físico;;Não
252;Físico;;Não
7064;Físico;;Não
6985;Físico;;Não
793;Físico;;Não
6988;Físico;;Não
342;Físico;;Não
7416;Físico;;Não
1440;Físico;;Não
569;Físico;;Não
7034;Físico;;Não
590;Físico;;Não
7148;Físico;;Não
1331;Físico;;Não
1068;Físico;;Não
448;Físico;;Não
7065;Físico;;Sim
1129;Físico;;Não
600;Físico;;Não
1416;Físico;;Não
21;Físico;;Não
7068;Físico;;Não
7399;Físico;;Não
324;Físico;;Não
7391;Físico;;Não
518;Físico;;Não
7303;Físico;;Não
7562;Físico;;Não
7010;Físico;;Não
7071;Físico;;Não
7072;Físico;;Não
760;Físico;;Não
825;Físico;;Não
7017;Físico;;Não
1343;Físico;;Não
7316;Físico;;Não
1420;Físico;;Não
7025;Físico;;Não
883;Físico;;Não
7070;Físico;;Não
137;Físico;;Não
1729;Físico;;Não
1704;Físico;;Não
7033;Físico;;Não
7398;Físico;;Sim
7044;Físico;;Não
1490;Físico;;Não
1374;Físico;;Não
1220;Físico;;Não
1317;Físico;;Não
7134;Rewe;10;Não
767;Físico;;Não
7135;Físico;;Não
7454;Físico;;Não
7136;AliExpress;6;Não
7137;Físico;;Não
359;Físico;;Não
309;Físico;;Não
7139;Físico;;Não
7140;Físico;;Sim
7555;Físico;;Sim
7576;Físico;;Não
7141;Físico;;Não
915;Físico;;Não
1056;Físico;;Sim
7143;Físico;;Não
512;Físico;;Não
1555;Físico;;Não
281;Wish;10;Sim
1308;Físico;;Não
7189;Rewe;9;Não
7721;Físico;;Não
7145;Físico;;Não
1369;Físico;;Não
1351;Físico;;Sim
7146;Tesco;16;Não
7650;Lowe's;10;Não
7430;Físico;;Não
7149;Físico;;Não
334;Físico;;Não
426;Físico;;Não
365;Físico;;Sim
1629;Físico;;Não
7155;Físico;;Sim
7212;HomeDepot;1;Não
617;Físico;;Não
1210;Físico;;Não
7157;Físico;;Não
7521;Físico;;Não
131;Físico;;Não
7158;Físico;;Não
251;Físico;;Não
7163;Físico;;Não
686;Físico;;Não
1571;Kaola;10;Sim
7164;Físico;;Não
7698;Físico;;Não
261;Físico;;Não
960;Físico;;Não
1111;Craiglist;8;Não
1116;Físico;;Não
1685;Físico;;Não
143;Físico;;Não
639;Físico;;Não
935;Físico;;Não
7165;Físico;;Não
1132;Físico;;Não
201;Físico;;Não
1237;Físico;;Não
7166;Físico;;Não
7736;Físico;;Não
7293;Físico;;Sim
1174;Físico;;Não
7169;Físico;;Não
892;Físico;;Não
1141;Físico;;Sim
1574;Físico;;Sim
1419;Físico;;Não
7171;Físico;;Não
298;Target;12;Não
7172;Físico;;Não
771;Walmart;11;Não
7173;Físico;;Sim
7217;Físico;;Não
656;eshop europa;8;Sim
1468;Físico;;Sim
1244;Físico;;Não
7174;Físico;;Não
7175;Físico;;Sim
7179;Físico;;Não
7180;Físico;;Não
1109;Físico;;Não
7181;Físico;;Não
829;Físico;;Não
8;TaooMall;8;Não
7182;SnapDeal;10;Não
353;Físico;;Não
7183;Físico;;Não
7184;Lazada;20;Não
7518;Físico;;Não
149;Físico;;Não
828;eBay;29;Não
7185;Físico;;Não
343;Físico;;Não
1496;Físico;;Sim
7186;Físico;;Não
7415;Rewe;8;Sim
522;Físico;;Não
1243;GittiGidiyor;11;Sim
7187;Físico;;Não
1365;Wish;8;Não
637;Aldi;11;Não
7192;Físico;;Não
744;eshop europa;8;Não
7196;Físico;;Sim
7197;Lowe's;12;Sim
91;Les Mousquetaires;11;Não
7370;Físico;;Não
932;Físico;;Não
952;Físico;;Não
7198;Físico;;Não
7332;Físico;;Não
230;Físico;;Não
7201;Físico;;Não
248;Físico;;Não
7203;Físico;;Não
7314;Físico;;Não
602;Físico;;Não
1649;E.Leclerc;9;Não
7204;Físico;;Não
7333;Físico;;Não
662;Físico;;Não
1164;Físico;;Não
1305;Físico;;Não
7205;Físico;;Não
77;Rewe;9;Não
290;Físico;;Não
386;Físico;;Não
1772;Físico;;Não
7206;Físico;;Não
7321;Físico;;Não
1085;BestBuy;4;Não
1316;Físico;;Não
862;Físico;;Não
1232;Físico;;Não
7208;Físico;;Não
7218;Físico;;Não
128;Físico;;Não
575;Físico;;Não
7210;Físico;;Não
7578;Físico;;Não
7213;Físico;;Não
7214;Físico;;Não
997;Físico;;Não
1760;Kaola;14;Não
7215;Físico;;Não
7616;Físico;;Não
141;Físico;;Não
7216;E.Leclerc;11;Não
7376;Físico;;Não
7222;Rewe;7;Não
7648;Físico;;Sim
7223;Físico;;Não
7224;Físico;;Não
972;Físico;;Não
541;Físico;;Não
651;Físico;;Não
7225;Edeka;2;Não
7226;Físico;;Não
97;Físico;;Não
330;Físico;;Não
7227;Rakuten;8;Não
7230;Flipkart;10;Não
1453;Físico;;Não
730;Físico;;Sim
989;Físico;;Não
7231;Físico;;Não
695;Físico;;Não
696;Físico;;Não
7232;Físico;;Não
7233;Físico;;Não
7234;Físico;;Não
1514;Físico;;Não
7235;Físico;;Não
1183;Físico;;Não
1195;Físico;;Não
7236;Físico;;Não
7527;Físico;;Não
7238;Físico;;Não
7239;Físico;;Não
7241;Físico;;Não
53;Físico;;Sim
7242;Físico;;Não
1540;Físico;;Não
7243;Físico;;Não
505;Físico;;Não
1043;Físico;;Não
7247;Físico;;Não
7251;Físico;;Não
238;Físico;;Não
1280;Físico;;Não
7608;Físico;;Não
22;Físico;;Não
1357;Edeka;13;Não
7253;Físico;;Não
118;Físico;;Não
1430;Físico;;Não
7254;Físico;;Sim
821;Físico;;Não
7257;Físico;;Não
7694;Carrefour;9;Não
757;Físico;;Não
7258;Físico;;Sim
68;Físico;;Não
7259;Craiglist;8;Não
7609;Físico;;Não
7260;Físico;;Não
7453;Físico;;Não
7455;HomeDepot;8;Sim
583;Físico;;Não
7262;Físico;;Não
1618;Físico;;Não
432;Físico;;Não
905;Físico;;Não
7263;Físico;;Não
7702;Físico;;Não
712;Físico;;Não
7267;Físico;;Não
445;Kaola;14;Não
7568;Amazon;16;Sim
7269;Físico;;Não
402;Físico;;Não
1270;Físico;;Não
7271;Físico;;Não
7597;Físico;;Não
947;Wish;8;Não
46;Físico;;Não
232;Físico;;Não
304;Físico;;Não
7273;Físico;;Não
206;Físico;;Não
1001;Físico;;Não
7274;Físico;;Sim
614;Etsy;14;Não
1748;Físico;;Não
7276;Físico;;Não
7673;Físico;;Não
1161;Físico;;Não
1171;Amazon;16;Não
43;Físico;;Não
421;Físico;;Não
1530;Físico;;Não
7283;Físico;;Não
45;Físico;;Não
7284;Físico;;Não
7287;E.Leclerc;15;Não
30;Físico;;Não
1381;Físico;;Não
1480;Físico;;Não
7288;Físico;;Não
604;Schwarz;6;Não
1349;Físico;;Não
7289;Rewe;11;Não
7291;Físico;;Não
868;Físico;;Não
1769;Físico;;Não
7294;Físico;;Não
1603;Físico;;Não
7296;Físico;;Não
7624;Físico;;Não
383;Físico;;Não
7435;Físico;;Sim
7300;Físico;;Não
7330;Físico;;Não
470;Físico;;Sim
1107;Físico;;Não
7301;Kaola;19;Não
826;Físico;;Não
7302;Físico;;Não
859;Físico;;Não
7575;Físico;;Não
1133;Físico;;Não
7304;Físico;;Não
1144;Físico;;Não
7305;Físico;;Não
7306;Wish;12;Não
7307;Físico;;Não
456;Les Mousquetaires;9;Não
7308;Físico;;Sim
7553;Físico;;Não
800;Físico;;Não
7309;Físico;;Sim
7645;Físico;;Não
7310;Físico;;Não
316;Físico;;Não
7311;Físico;;Não
472;Físico;;Não
934;Alibaba;10;Não
7312;Físico;;Não
7313;Físico;;Não
1595;Físico;;Não
7318;Físico;;Não
7353;eBay;17;Não
858;Físico;;Sim
7319;Físico;;Não
7320;E.Leclerc;18;Sim
7732;Físico;;Não
633;Físico;;Sim
1426;Físico;;Não
7322;Físico;;Sim
7323;Físico;;Não
1510;Físico;;Não
1720;Walmart;15;Não
7325;Físico;;Não
517;Físico;;Sim
1454;Alibaba;9;Não
1487;Físico;;Sim
7326;Físico;;Não
1206;eBay;22;Não
1372;Físico;;Não
7328;Físico;;Não
7422;Físico;;Não
1678;Físico;;Não
7329;Físico;;Não
262;Físico;;Não
1368;Físico;;Não
88;Físico;;Não
970;Físico;;Não
7406;Físico;;Não
7331;Rewe;11;Não
549;Físico;;Não
592;Físico;;Não
1304;Físico;;Não
7427;Target;9;Não
7334;Amazon;15;Não
494;Físico;;Não
957;Físico;;Não
1092;Físico;;Não
235;Físico;;Não
7335;Físico;;Não
7341;Físico;;Não
1098;Físico;;Sim
7342;Físico;;Não
1470;Físico;;Não
7343;Físico;;Não
643;Físico;;Não
1199;Físico;;Não
7344;Rewe;11;Não
7345;Físico;;Sim
1314;Físico;;Não
7347;Físico;;Não
809;eBay;14;Não
1386;Físico;;Não
7350;Físico;;Não
350;Físico;;Sim
465;Físico;;Não
483;Físico;;Não
958;Físico;;Não
1415;Físico;;Não
1054;Físico;;Não
7351;Físico;;Não
7352;Rakuten;8;Não
1668;Rakuten;9;Não
1701;Físico;;Não
7354;Físico;;Não
576;Físico;;Não
7554;Físico;;Não
503;Físico;;Não
7362;Físico;;Não
7716;Físico;;Não
718;Físico;;Não
1257;Físico;;Não
7365;Físico;;Não
351;Físico;;Não
1581;Físico;;Não
1671;Físico;;Não
610;Físico;;Não
1683;Físico;;Não
7366;Físico;;Não
321;Físico;;Não
7368;Físico;;Não
1554;Físico;;Não
640;Físico;;Sim
7499;Físico;;Não
428;Físico;;Não
7372;E.Leclerc;18;Não
1041;Físico;;Não
7375;Físico;;Não
112;Schwarz;7;Sim
591;Físico;;Não
7439;Rakuten;8;Não
816;Físico;;Não
1253;Físico;;Não
1100;HomeDepot;7;Não
1499;Físico;;Não
7377;Físico;;Não
2;Físico;;Não
804;Físico;;Não
7381;Físico;;Não
7433;Físico;;Não
912;Físico;;Não
7382;eBay;10;Não
413;Físico;;Não
7383;Físico;;Não
654;Físico;;Não
7384;Físico;;Não
1061;Físico;;Não
7386;Físico;;Não
1405;Físico;;Não
7706;Físico;;Não
7388;TaooMall;8;Não
1513;Físico;;Não
7389;Físico;;Não
746;Físico;;Não
76;Físico;;Não
348;Físico;;Não
1348;Tesco;17;Não
7392;Físico;;Não
190;SnapDeal;11;Não
7394;Físico;;Sim
239;Físico;;Não
1563;Físico;;Não
852;Físico;;Não
7395;Físico;;Não
708;Aldi;13;Não
7397;Físico;;Não
7400;Físico;;Não
7402;Físico;;Não
880;Físico;;Não
7411;Físico;;Não
196;Físico;;Não
786;Físico;;Não
1526;Físico;;Não
1546;Físico;;Não
7412;Físico;;Não
1520;Físico;;Não
1636;Físico;;Não
7413;Físico;;Não
7730;Físico;;Não
1733;Físico;;Não
7414;Físico;;Não
17;Físico;;Não
1400;Físico;;Não
7417;Físico;;Não
7735;Físico;;Não
7419;Físico;;Não
1479;Físico;;Não
132;Físico;;Não
7420;Físico;;Não
1014;Físico;;Não
1196;Físico;;Não
1705;Físico;;Sim
7421;eshop europa;11;Não
385;Físico;;Não
303;Físico;;Não
7460;Carrefour;12;Não
7424;Físico;;Não
460;Físico;;Não
1330;Físico;;Não
1624;Físico;;Não
7425;Físico;;Não
1112;Físico;;Sim
7633;Físico;;Sim
1004;Físico;;Sim
7429;Físico;;Não
901;Físico;;Não
1224;Físico;;Não
7431;Amazon;10;Não
7432;Físico;;Não
1666;Físico;;Não
1410;Físico;;Não
991;Físico;;Não
7434;HomeDepot;30;Sim
835;Físico;;Não
7558;Físico;;Não
1284;Físico;;Não
1767;Físico;;Não
7437;Físico;;Não
7438;Alibaba;10;Não
7671;Físico;;Não
144;Físico;;Não
1228;Físico;;Não
7440;Físico;;Não
7441;Físico;;Não
7444;Tesco;17;Não
1332;Físico;;Não
7589;Físico;;Não
1659;Físico;;Sim
7448;Alibaba;3;Não
7449;Físico;;Não
7450;Físico;;Não
7451;Les Mousquetaires;18;Não
1531;TaooMall;13;Não
908;Físico;;Sim
1770;Físico;;Não
615;Físico;;Não
7456;Físico;;Não
458;Físico;;Não
1328;Físico;;Não
7459;Físico;;Não
7461;Físico;;Não
822;Físico;;Não
1299;Físico;;Não
7465;Lowe's;9;Não
7510;Físico;;Não
7678;Físico;;Não
394;Físico;;Não
781;Físico;;Não
7467;Físico;;Não
7470;Físico;;Não
7472;Físico;;Não
389;Físico;;Não
1485;Físico;;Não
1408;Físico;;Sim
7475;eBay;19;Não
475;Físico;;Sim
1153;Físico;;Não
702;Físico;;Não
1459;Físico;;Não
7477;Físico;;Não
1286;Físico;;Não
1394;Físico;;Não
7481;Físico;;Não
756;Físico;;Não
736;Físico;;Não
1291;Físico;;Não
1560;Físico;;Não
7484;Físico;;Não
7610;E.Leclerc;17;Não
7485;Físico;;Não
352;AliExpress;8;Não
7489;Físico;;Não
89;Físico;;Não
7674;Físico;;Não
7490;Físico;;Não
1395;Físico;;Não
136;Físico;;Não
7491;Físico;;Não
164;Físico;;Não
7492;Físico;;Não
7493;TaooMall;12;Não
1384;Físico;;Não
7494;Físico;;Não
855;Físico;;Não
7496;Físico;;Não
670;Amazon;17;Não
881;Físico;;Não
1438;Lowe's;16;Não
7500;Físico;;Não
652;Tesco;11;Não
910;Físico;;Não
763;Físico;;Não
1002;Les Mousquetaires;19;Não
1342;Físico;;Não
7501;Físico;;Não
92;Físico;;Não
7502;Físico;;Não
7503;Físico;;Não
7505;Físico;;Não
34;Físico;;Não
936;Flipkart;12;Não
7507;Físico;;Não
135;Físico;;Não
1370;Físico;;Sim
63;Físico;;Não
7509;Físico;;Não
7513;Físico;;Não
7599;Físico;;Não
7514;Físico;;Não
7515;Físico;;Não
52;Físico;;Não
7516;Físico;;Não
274;Físico;;Sim
7519;Físico;;Não
728;Físico;;Não
1535;Rewe;12;Não
1577;Físico;;Sim
1213;Físico;;Não
7520;Físico;;Sim
7523;Carrefour;12;Não
7653;Físico;;Não
733;Físico;;Não
1294;Físico;;Não
7524;eBay;7;Não
307;Físico;;Não
723;Físico;;Não
7526;Físico;;Sim
626;Amazon;14;Não
1434;Físico;;Não
759;Físico;;Não
7528;Físico;;Não
32;Físico;;Não
7529;Físico;;Não
1276;Físico;;Sim
276;Físico;;Sim
278;Físico;;Não
1248;Físico;;Não
7530;Físico;;Não
1521;Físico;;Não
7531;Físico;;Não
1130;Físico;;Não
1255;Físico;;Não
1288;Físico;;Não
7533;Físico;;Sim
7535;Físico;;Sim
7536;Físico;;Não
706;Físico;;Não
1315;Físico;;Não
7537;Físico;;Não
1072;BestBuy;7;Não
7539;Físico;;Não
737;Físico;;Sim
1414;Físico;;Não
7540;Físico;;Não
1637;Físico;;Sim
7541;Rewe;11;Não
1605;Físico;;Não
7542;Físico;;Não
7601;Físico;;Não
7544;Físico;;Não
148;GittiGidiyor;11;Não
7546;SnapDeal;12;Não
1055;Físico;;Não
7547;Físico;;Não
95;Físico;;Não
1413;Físico;;Não
7551;Físico;;Não
524;Físico;;Não
1145;Físico;;Não
7552;Schwarz;29;Não
315;Físico;;Não
453;Físico;;Não
876;Lowe's;11;Não
1511;Físico;;Não
1679;Físico;;Não
7556;Físico;;Não
853;Físico;;Não
860;Físico;;Não
478;Físico;;Sim
1235;Físico;;Não
345;AliExpress;3;Não
814;Físico;;Não
886;Físico;;Não
1364;Físico;;Não
7563;Target;15;Não
7564;Físico;;Não
430;Físico;;Não
1212;Físico;;Não
7567;Físico;;Não
7686;Físico;;Não
7572;Físico;;Não
985;Físico;;Não
1078;Físico;;Não
1099;Wish;9;Não
7574;Físico;;Não
1524;Físico;;Não
7577;Físico;;Não
1265;Físico;;Não
1565;Físico;;Não
1006;Físico;;Não
1409;Físico;;Não
7582;Alibaba;2;Não
7584;Target;12;Não
7719;Físico;;Não
1203;Físico;;Não
425;Físico;;Não
1010;Físico;;Não
1494;Físico;;Não
1648;Físico;;Não
7588;Físico;;Sim
966;Físico;;Sim
172;Físico;;Sim
727;Físico;;Não
113;Físico;;Não
7590;Físico;;Não
7591;Físico;;Não
1613;Físico;;Não
7595;Físico;;Não
1752;Físico;;Sim
7596;Físico;;Não
7665;Físico;;Não
36;HomeDepot;28;Não
375;Rewe;10;Não
449;Físico;;Não
573;GittiGidiyor;9;Não
44;Flipkart;14;Não
7606;Físico;;Não
422;Físico;;Não
1217;Físico;;Não
7607;Físico;;Não
884;Físico;;Não
1066;Físico;;Não
7613;Físico;;Não
7614;Físico;;Não
1202;eBay;18;Não
7617;Físico;;Não
310;Wish;12;Não
7620;Walmart;13;Sim
59;Físico;;Não
1190;Físico;;Sim
7621;Físico;;Sim
622;Físico;;Não
545;Físico;;Não
1122;AliExpress;5;Não
7622;Físico;;Não
369;Físico;;Sim
7623;Rakuten;10;Não
1309;Físico;;Não
7625;Físico;;Sim
7626;Físico;;Não
167;Físico;;Não
1027;Físico;;Não
1596;Físico;;Não
978;Físico;;Não
7627;Amazon;9;Não
7628;Físico;;Não
7705;Físico;;Não
467;Físico;;Não
1766;Físico;;Não
495;Físico;;Não
7630;Físico;;Sim
1018;Físico;;Não
1242;Craiglist;6;Não
7631;Físico;;Sim
217;Físico;;Não
450;Físico;;Não
1229;Físico;;Não
7632;Físico;;Não
1393;Físico;;Não
7634;Físico;;Não
1279;Físico;;Não
7636;Físico;;Não
400;Físico;;Não
801;Físico;;Não
7642;Físico;;Não
7643;Físico;;Não
560;Físico;;Não
114;Físico;;Sim
681;Físico;;Não
480;Físico;;Não
1065;Físico;;Sim
7652;Físico;;Não
93;Físico;;Não
7655;Aldi;9;Não
500;Físico;;Sim
940;Físico;;Não
7656;Físico;;Não
7672;Lowe's;15;Não
7662;Físico;;Não
1089;Físico;;Não
1285;Físico;;Não
7663;Físico;;Não
7666;Físico;;Não
963;Físico;;Não
7667;Target;12;Não
644;Físico;;Não
550;Físico;;Não
7670;Amazon;11;Não
364;Físico;;Não
1763;Físico;;Sim
861;Target;18;Não
976;Físico;;Não
1163;Físico;;Não
1674;Físico;;Não
918;Físico;;Não
1377;E.Leclerc;16;Não
1739;Físico;;Não
547;Flipkart;16;Não
7676;Físico;;Não
301;Físico;;Não
513;Lowe's;17;Não
7679;Físico;;Não
949;Edeka;9;Não
473;Físico;;Sim
1269;Físico;;Não
1615;Físico;;Não
1652;Físico;;Não
7683;Físico;;Não
895;Físico;;Não
7684;Amazon;11;Não
19;Físico;;Sim
558;Físico;;Não
110;Físico;;Não
182;Físico;;Não
357;Físico;;Não
7687;Físico;;Não
7688;Físico;;Não
7689;Físico;;Não
1698;Físico;;Não
1732;Físico;;Não
7691;Físico;;Não
789;Físico;;Não
873;Físico;;Não
1226;Físico;;Não
1456;Físico;;Sim
7692;Etsy;19;Não
819;Físico;;Não
1340;Físico;;Não
7697;Físico;;Não
1016;Físico;;Não
150;Físico;;Não
312;Físico;;Não
7701;Físico;;Sim
1749;SnapDeal;12;Não
1218;GittiGidiyor;11;Não
7707;Físico;;Não
7708;Amazon;11;Não
189;Físico;;Não
1743;Físico;;Não
7709;eshop europa;10;Não
7710;Físico;;Não
7712;Físico;;Não
289;Físico;;Não
7714;Físico;;Sim
933;Físico;;Não
7717;Físico;;Não
7718;Físico;;Sim
564;Físico;;Não
380;Físico;;Não
834;Físico;;Não
7722;Físico;;Não
1677;Físico;;Não
1283;Etsy;3;Não
7725;Físico;;Não
486;Físico;;Não
850;Kaola;15;Não
7726;Físico;;Não
90;Físico;;Não
911;Físico;;Não
1335;Físico;;Não
366;Físico;;Não
832;Físico;;Sim
1293;Físico;;Sim
1711;Físico;;Não
899;Físico;;Não
956;eBay;23;Não
7738;Craiglist;9;Não
1071;Físico;;Não
1753;Físico;;Não
188;Físico;;Não
877;Físico;;Não
1028;Etsy;8;Não
7741;Físico;;Não
7742;AliExpress;8;Não
221;Físico;;Não
292;Físico;;Não
924;Físico;;Não
1290;Físico;;Não
1;Físico;;Não
3;Físico;;Não
4;Edeka;29;Não
1032;Físico;;Não
5;Les Mousquetaires;12;Não
429;Físico;;Não
7;Físico;;Não
577;Físico;;Não
572;Físico;;Não
12;Físico;;Não
1599;Físico;;Não
13;Físico;;Não
66;Físico;;Não
772;Físico;;Sim
799;Walmart;8;Não
647;Rewe;8;Não
14;Físico;;Não
1345;Físico;;Não
894;Físico;;Não
1063;Físico;;Não
23;Etsy;8;Não
1121;Físico;;Não
1421;Físico;;Não
65;Físico;;Não
308;Carrefour;8;Não
1592;Físico;;Não
1741;Físico;;Não
24;Amazon;13;Não
1388;Craiglist;5;Não
28;Físico;;Não
959;Físico;;Não
29;Físico;;Não
874;Físico;;Não
587;Físico;;Não
33;Físico;;Não
1435;Físico;;Não
1347;Físico;;Não
37;Físico;;Não
1437;Físico;;Não
39;Físico;;Não
586;Amazon;15;Não
47;Físico;;Não
49;Físico;;Não
50;Físico;;Não
431;Físico;;Não
1311;Físico;;Não
54;Target;16;Não
56;Físico;;Não
580;Físico;;Não
630;Físico;;Não
62;Físico;;Não
540;Físico;;Não
666;Físico;;Não
64;Físico;;Não
333;Físico;;Não
145;Físico;;Não
67;Alibaba;8;Não
1630;Físico;;Não
69;Físico;;Não
285;Físico;;Não
1703;Físico;;Não
75;Físico;;Não
765;Etsy;4;Sim
1457;Físico;;Sim
165;GittiGidiyor;10;Não
1466;Físico;;Não
80;Físico;;Não
81;Físico;;Não
1462;Físico;;Não
82;Físico;;Não
1691;Físico;;Não
502;Físico;;Não
98;Wish;13;Não
699;Físico;;Não
1036;Amazon;12;Não
1482;Amazon;19;Não
99;Físico;;Não
620;Físico;;Não
100;Físico;;Sim
108;Físico;;Não
119;Físico;;Não
446;eBay;20;Não
121;Físico;;Não
1594;Físico;;Sim
123;Físico;;Sim
1716;Físico;;Não
125;Físico;;Sim
787;Físico;;Não
1460;Físico;;Não
403;Físico;;Não
791;Físico;;Não
253;Físico;;Sim
443;Físico;;Não
1399;Físico;;Não
683;Físico;;Não
138;Físico;;Não
461;Físico;;Sim
